algorithm,alpha,tradeoff,NDCG@10,GH,dim_optimal
knni,0.0000,0.5000,0.7780,0.2410,13
knni,0.2500,0.2500,0.7780,0.2410,13
knni,0.5000,0.0000,0.7780,0.2410,13
knni,0.7500,-0.2500,0.7780,0.2410,13
knni,1.0000,-0.5000,0.7780,0.2410,13
knni mmr,0.0000,1.0000,0.7730,0.1530,63
knni mmr,0.2500,0.7344,0.7730,0.1530,63
knni mmr,0.5000,0.4688,0.7730,0.1530,63
knni mmr,0.7500,0.2031,0.7730,0.1530,63
knni mmr,1.0000,0.0000,0.7560,0.1520,83
knni td,0.0000,1.0000,0.7350,0.2400,13
knni td,0.2500,0.5000,0.7350,0.2400,13
knni td,0.5000,0.0000,0.7350,0.2400,13
knni td,0.7500,0.0000,0.7130,0.2390,23
knni td,1.0000,0.0000,0.7130,0.2390,23
knnu,0.0000,0.5000,0.8380,0.2340,13
knnu,0.2500,0.2500,0.8380,0.2340,13
knnu,0.5000,0.0000,0.8380,0.2340,13
knnu,0.7500,-0.2500,0.8380,0.2340,13
knnu,1.0000,-0.5000,0.8380,0.2340,13
knnu mmr,0.0000,1.0000,0.7032,0.1548,43
knnu mmr,0.2500,0.7140,0.7010,0.1510,83
knnu mmr,0.5000,0.4760,0.7010,0.1510,83
knnu mmr,0.7500,0.2380,0.7010,0.1510,83
knnu mmr,1.0000,0.0000,0.6940,0.1510,73
knnu td,0.0000,1.0000,0.6010,0.2360,13
knnu td,0.2500,0.6250,0.6010,0.2360,13
knnu td,0.5000,0.2500,0.6010,0.2360,13
knnu td,0.7500,-0.1250,0.6010,0.2360,13
knnu td,1.0000,-0.5000,0.6010,0.2360,13
svd,0.0000,0.5000,0.8000,0.2420,13
svd,0.2500,0.2500,0.8000,0.2420,13
svd,0.5000,0.0000,0.8000,0.2420,13
svd,0.7500,-0.2500,0.8000,0.2420,13
svd,1.0000,-0.5000,0.8000,0.2420,13
svd mmr,0.0000,1.0000,0.5940,0.2210,63
svd mmr,0.2500,0.7500,0.5940,0.2210,63
svd mmr,0.5000,0.5000,0.5940,0.2210,63
svd mmr,0.7500,0.2500,0.5940,0.2210,63
svd mmr,1.0000,0.0000,0.5940,0.2210,63
svd td,0.0000,1.0000,0.7370,0.2560,13
svd td,0.2500,0.5000,0.7370,0.2560,13
svd td,0.5000,0.0000,0.7370,0.2560,13
svd td,0.7500,0.0000,0.7260,0.2550,23
svd td,1.0000,0.0000,0.7260,0.2550,23
