Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.034,1.155,0.480,0.5532
knnu mmr,0.000,1.732,0.978,1.000,0.479,0.2095
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.633,1.002,1.049,0.353,0.2546
knni mmr,0.000,1.595,0.852,0.928,0.480,0.0163
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.034,1.549,0.687,0.681,0.379,0.7363
svd mmr,0.118,1.268,0.735,0.789,0.329,0.4538
