Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.242,0.645,2.538,0.0000
knnu mmr,17,0.203,0.083,0.355,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.682,0.523,0.596,0.0054
knni mmr,21,0.206,0.165,0.163,0.0594
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.519,0.372,0.396,0.0032
svd mmr,19,0.221,0.204,0.165,0.1305
