Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.232,0.233,0.019,0.5077
knnu mmr,25,0.183,0.185,0.015,0.3746
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.235,0.022,0.9199
knni mmr,29,0.179,0.179,0.013,0.9004
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.257,0.252,0.027,0.3798
svd mmr,27,0.251,0.246,0.029,0.1876
