Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,1.954,1.035,1.155,0.532,0.1317
knnu mmr,0.000,1.633,1.024,1.155,0.489,0.0717
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.732,1.014,1.049,0.375,0.3595
knni mmr,0.000,1.490,0.886,0.943,0.467,0.0415
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.106,0.582,0.599,0.347,0.1125
svd mmr,0.093,1.268,0.729,0.810,0.331,0.4773
