Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.230,0.234,0.025,0.6316
knnu mmr,25,0.188,0.187,0.017,0.5697
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.239,0.232,0.022,0.0370
knni mmr,29,0.186,0.188,0.012,0.3131
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.241,0.232,0.028,0.0184
svd mmr,27,0.250,0.245,0.028,0.0924
