Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.229,0.228,0.026,0.5271
knnu mmr,25,0.187,0.186,0.011,0.2585
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.231,0.228,0.021,0.9014
knni mmr,29,0.190,0.190,0.013,0.7865
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.248,0.243,0.022,0.2242
svd mmr,27,0.253,0.249,0.028,0.2446
