Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.315,1.000,0.834,0.873,0.155,0.0000
knnu td,0.000,1.000,0.595,0.581,0.299,0.0004
knnu mmr,0.000,1.000,0.653,0.737,0.260,0.0137
knni,0.000,1.000,0.773,0.828,0.217,0.0000
knni td,0.000,0.988,0.731,0.846,0.237,0.0000
knni mmr,0.000,1.000,0.713,0.774,0.258,0.0005
svd,0.000,1.000,0.777,0.881,0.270,0.0000
svd td,0.000,0.945,0.711,0.815,0.217,0.0000
svd mmr,0.000,0.926,0.596,0.586,0.235,0.1186
