Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.234,0.235,0.021,0.4032
knnu mmr,25,0.182,0.181,0.013,0.7887
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.235,0.234,0.020,0.0777
knni mmr,29,0.188,0.188,0.015,0.7222
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.244,0.241,0.026,0.2340
svd mmr,27,0.252,0.249,0.027,0.3857
