Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.233,0.231,0.023,0.7931
knnu mmr,25,0.190,0.191,0.020,0.6180
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.230,0.229,0.019,0.6617
knni mmr,29,0.194,0.192,0.018,0.7865
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.251,0.247,0.025,0.4790
svd mmr,27,0.256,0.250,0.030,0.3694
