Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.082,0.559,2.230,0.0000
knnu mmr,18,0.272,0.111,0.469,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,26,0.559,0.411,0.439,0.0087
knni mmr,22,0.275,0.223,0.186,0.0802
svd,25,1.354,1.014,0.812,0.0388
svd td,23,0.412,0.333,0.368,0.0002
svd mmr,19,0.237,0.203,0.191,0.1021
