Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.234,0.237,0.021,0.7968
knnu mmr,25,0.165,0.165,0.020,0.4450
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.236,0.020,0.7846
knni mmr,29,0.164,0.164,0.017,0.0389
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.253,0.250,0.027,0.5062
svd mmr,27,0.251,0.247,0.029,0.2845
