Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.233,0.236,0.021,0.6682
knnu mmr,25,0.189,0.188,0.012,0.4096
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.241,0.236,0.023,0.0460
knni mmr,29,0.189,0.187,0.017,0.9307
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.259,0.257,0.026,0.6511
svd mmr,27,0.252,0.247,0.028,0.3519
