Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.018,1.109,0.466,0.4626
knnu mmr,0.000,1.789,0.960,0.947,0.487,0.4583
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.569,0.967,1.047,0.405,0.0264
knni mmr,0.000,1.549,0.819,0.973,0.532,0.0077
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.549,0.709,0.712,0.385,0.9601
svd mmr,0.093,1.268,0.742,0.818,0.338,0.3344
