Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.019,1.000,0.470,0.4702
knnu mmr,0.000,1.581,0.791,0.894,0.599,0.0173
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.012,1.069,0.351,0.2667
knni mmr,0.000,1.549,0.926,1.000,0.429,0.1578
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.661,0.738,0.336,0.5904
svd mmr,0.118,1.268,0.721,0.770,0.329,0.5567
