Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,0.999,1.155,0.519,0.1937
knnu mmr,0.000,2.000,0.942,0.957,0.560,0.3424
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.633,1.014,1.069,0.358,0.2825
knni mmr,0.000,1.632,0.910,1.095,0.498,0.0807
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.175,0.607,0.576,0.356,0.3174
svd mmr,0.093,1.268,0.733,0.810,0.331,0.4087
