Algoritmo,GH_COSINE_LISTS,N Listas
knnu,0.23277957099032245,81
knnu td,0.23535052214377797,99
knnu mmr,0.14525773874875467,48
knni,0.2510766297863508,206
knni td,0.23808704289463267,70
knni mmr,0.1410203244892124,71
svd,0.2384855891623988,66
svd td,0.25448364582590605,78
svd mmr,0.2130049728780239,56
