Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.231,0.238,0.021,0.3929
knnu mmr,25,0.182,0.180,0.019,0.5773
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.234,0.234,0.021,0.0413
knni mmr,29,0.181,0.181,0.017,0.6418
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.250,0.249,0.025,0.1220
svd mmr,27,0.253,0.251,0.029,0.2737
