Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.022,1.000,0.474,0.5493
knnu mmr,0.000,1.690,0.904,1.048,0.500,0.0812
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.014,1.069,0.351,0.2169
knni mmr,0.000,1.731,0.852,0.894,0.475,0.3138
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.678,0.748,0.330,0.4927
svd mmr,0.118,1.268,0.730,0.809,0.330,0.4280
