Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.024,1.000,0.482,0.7018
knnu mmr,0.000,1.549,0.864,1.155,0.600,0.0134
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.013,1.069,0.348,0.1905
knni mmr,0.000,1.468,0.932,0.961,0.459,0.0126
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.669,0.732,0.343,0.5794
svd mmr,0.121,1.268,0.687,0.736,0.329,0.5369
