Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.208,0.629,2.483,0.0000
knnu mmr,16,0.281,0.138,0.441,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.677,0.523,0.592,0.0051
knni mmr,20,0.321,0.268,0.201,0.7078
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.511,0.392,0.391,0.0024
svd mmr,19,0.237,0.203,0.175,0.2258
