Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.164,0.619,2.397,0.0000
knnu mmr,17,0.309,0.133,0.498,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.665,0.528,0.576,0.0041
knni mmr,20,0.209,0.215,0.146,0.3248
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.489,0.365,0.401,0.0025
svd mmr,19,0.242,0.189,0.187,0.0725
