Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.065,0.435,2.386,0.0000
knnu mmr,18,0.334,0.188,0.502,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.551,0.411,0.454,0.0138
knni mmr,22,0.249,0.177,0.191,0.0752
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.452,0.334,0.362,0.0009
svd mmr,19,0.243,0.204,0.180,0.1416
