Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.315,1.000,0.834,0.873,0.155,0.0000
knnu td,0.000,1.000,0.603,0.561,0.289,0.0003
knnu mmr,0.000,1.000,0.614,0.727,0.293,0.0238
knni,0.000,1.000,0.773,0.828,0.217,0.0000
knni td,0.000,0.993,0.730,0.854,0.246,0.0001
knni mmr,0.256,1.000,0.714,0.769,0.203,0.0002
svd,0.000,1.000,0.777,0.881,0.270,0.0000
svd td,0.000,0.955,0.712,0.803,0.231,0.0002
svd mmr,0.000,0.905,0.592,0.575,0.237,0.0714
