Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.231,0.229,0.023,0.0178
knnu mmr,25,0.182,0.181,0.013,0.9842
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.233,0.234,0.021,0.8799
knni mmr,29,0.182,0.183,0.015,0.8517
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.246,0.243,0.025,0.1641
svd mmr,27,0.251,0.247,0.029,0.2984
