Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.153,0.620,2.533,0.0000
knnu mmr,17,0.282,0.111,0.485,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.584,0.365,0.542,0.0014
knni mmr,20,0.284,0.216,0.191,0.0350
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.537,0.437,0.389,0.0039
svd mmr,19,0.245,0.232,0.176,0.1638
