Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.224,0.584,2.519,0.0000
knnu mmr,16,0.229,0.098,0.353,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.681,0.523,0.601,0.0051
knni mmr,21,0.225,0.165,0.193,0.0309
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.511,0.364,0.399,0.0023
svd mmr,19,0.227,0.204,0.171,0.2260
