Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.235,0.237,0.021,0.9850
knnu mmr,25,0.173,0.173,0.021,0.4359
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.239,0.234,0.021,0.1639
knni mmr,29,0.170,0.166,0.018,0.0574
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.256,0.256,0.025,0.5033
svd mmr,27,0.233,0.230,0.021,0.7839
