Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.044,1.155,0.498,0.5946
knnu mmr,0.000,2.000,0.838,0.903,0.563,0.1395
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.633,0.985,1.049,0.366,0.3610
knni mmr,0.000,1.580,0.999,1.188,0.459,0.0327
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.155,0.627,0.652,0.351,0.5033
svd mmr,0.118,1.268,0.727,0.799,0.325,0.5641
