Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.124,0.576,2.399,0.0000
knnu mmr,17,0.323,0.183,0.489,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.601,0.418,0.511,0.0048
knni mmr,22,0.275,0.261,0.185,0.1226
svd,25,1.354,1.014,0.812,0.0388
svd td,23,0.491,0.333,0.370,0.0095
svd mmr,19,0.240,0.203,0.176,0.0896
