Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.229,0.227,0.026,0.7630
knnu mmr,25,0.186,0.183,0.017,0.0126
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.232,0.234,0.024,0.6330
knni mmr,29,0.185,0.185,0.016,0.9209
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.248,0.244,0.027,0.1654
svd mmr,27,0.251,0.249,0.029,0.3393
