Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.286,1.000,0.822,0.868,0.170,0.0000
knnu td,0.000,1.000,0.601,0.577,0.269,0.0019
knnu mmr,0.279,1.000,0.649,0.711,0.189,0.1363
knni,0.000,1.000,0.767,0.825,0.211,0.0000
knni td,0.000,0.977,0.729,0.843,0.229,0.0000
knni mmr,0.231,1.000,0.694,0.761,0.223,0.0035
svd,0.000,1.000,0.777,0.886,0.267,0.0000
svd td,0.000,0.944,0.685,0.798,0.225,0.0001
svd mmr,0.000,0.911,0.579,0.575,0.230,0.1767
