Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.222,0.226,0.021,0.5023
knnu mmr,25,0.192,0.194,0.018,0.0690
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.229,0.227,0.023,0.7715
knni mmr,29,0.190,0.191,0.015,0.7020
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.245,0.245,0.022,0.5102
svd mmr,27,0.257,0.255,0.028,0.4978
