Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.237,0.236,0.024,0.8596
knnu mmr,25,0.171,0.170,0.018,0.4546
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.234,0.022,0.1958
knni mmr,29,0.170,0.169,0.019,0.8161
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.255,0.254,0.023,0.8927
svd mmr,27,0.252,0.246,0.029,0.2443
