Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.236,0.237,0.021,0.9669
knnu mmr,25,0.167,0.165,0.018,0.2248
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.240,0.234,0.021,0.1385
knni mmr,29,0.168,0.167,0.019,0.3889
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.256,0.250,0.025,0.4000
svd mmr,27,0.230,0.229,0.018,0.7506
