Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.217,0.584,2.501,0.0000
knnu mmr,19,0.212,0.074,0.362,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.675,0.523,0.596,0.0047
knni mmr,21,0.221,0.173,0.210,0.0168
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.515,0.372,0.401,0.0028
svd mmr,19,0.236,0.204,0.173,0.0791
