Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.215,0.648,2.489,0.0000
knnu mmr,19,0.241,0.097,0.391,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.668,0.523,0.593,0.0035
knni mmr,21,0.193,0.133,0.166,0.0152
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.514,0.360,0.400,0.0023
svd mmr,19,0.234,0.201,0.187,0.0111
