Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.077,0.561,2.249,0.0000
knnu mmr,18,0.271,0.096,0.468,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,26,0.621,0.500,0.510,0.0076
knni mmr,22,0.305,0.302,0.191,0.3382
svd,25,1.354,1.014,0.812,0.0388
svd td,23,0.442,0.333,0.379,0.0017
svd mmr,19,0.245,0.204,0.191,0.0316
