Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.236,0.237,0.020,0.9975
knnu mmr,25,0.167,0.163,0.022,0.1255
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.239,0.232,0.021,0.0854
knni mmr,29,0.168,0.166,0.019,0.1158
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.255,0.250,0.025,0.2931
svd mmr,27,0.232,0.229,0.018,0.8739
