Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.235,0.237,0.021,0.9402
knnu mmr,25,0.172,0.168,0.021,0.5112
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.239,0.234,0.020,0.0645
knni mmr,29,0.175,0.174,0.020,0.5785
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.256,0.254,0.026,0.4001
svd mmr,27,0.231,0.229,0.021,0.4100
