Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.315,1.000,0.834,0.873,0.155,0.0000
knnu td,0.000,1.000,0.595,0.581,0.299,0.0004
knnu mmr,0.000,1.000,0.667,0.770,0.262,0.0036
knni,0.000,1.000,0.773,0.828,0.217,0.0000
knni td,0.000,0.988,0.731,0.846,0.237,0.0000
knni mmr,0.263,1.000,0.719,0.774,0.234,0.0010
svd,0.000,1.000,0.777,0.881,0.270,0.0000
svd td,0.000,0.945,0.711,0.815,0.217,0.0000
svd mmr,0.000,0.941,0.592,0.578,0.234,0.1324
