Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.009,1.000,0.527,0.2703
knnu mmr,0.000,1.633,0.969,1.155,0.444,0.0237
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.581,0.988,1.044,0.392,0.0455
knni mmr,0.000,1.632,0.918,1.069,0.479,0.0312
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.249,0.709,0.789,0.339,0.4227
svd mmr,0.118,1.268,0.735,0.809,0.332,0.4032
