Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.231,0.645,2.524,0.0000
knnu mmr,17,0.212,0.091,0.364,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.682,0.523,0.596,0.0054
knni mmr,22,0.209,0.180,0.195,0.0267
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.511,0.364,0.399,0.0023
svd mmr,19,0.223,0.204,0.156,0.1697
