Algoritmo,RMSE,N Pares
knnu,1.0559406331114927,683
knnu td,1.3942300075038767,589
knnu mmr,1.0713525520043758,138
knni,0.9538499713103311,524
knni td,1.0313240980521363,376
knni mmr,1.0644508403494284,182
svd,0.7490410894943875,683
svd td,0.7507700861939587,220
svd mmr,0.8104156707150069,155
