Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.020,1.000,0.482,0.7651
knnu mmr,0.000,2.000,0.942,1.169,0.682,0.0226
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.017,1.069,0.352,0.2251
knni mmr,0.000,1.414,0.869,0.926,0.489,0.0100
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.668,0.732,0.344,0.5740
svd mmr,0.101,1.268,0.684,0.804,0.329,0.4214
