Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.069,0.532,2.255,0.0000
knnu mmr,16,0.271,0.110,0.424,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.558,0.365,0.494,0.0027
knni mmr,21,0.270,0.271,0.197,0.0170
svd,25,1.354,1.014,0.812,0.0388
svd td,21,0.489,0.333,0.427,0.0002
svd mmr,19,0.238,0.203,0.175,0.0762
