Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.225,0.620,2.515,0.0000
knnu mmr,17,0.210,0.083,0.340,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.678,0.523,0.594,0.0055
knni mmr,22,0.212,0.166,0.207,0.0031
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.511,0.364,0.399,0.0023
svd mmr,19,0.229,0.204,0.166,0.1786
