Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.004,1.155,0.524,0.2162
knnu mmr,0.000,1.549,0.868,1.061,0.545,0.0201
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.732,0.970,1.082,0.425,0.2403
knni mmr,0.000,1.548,0.905,1.000,0.399,0.0772
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.549,0.703,0.703,0.382,0.9773
svd mmr,0.093,1.268,0.730,0.789,0.334,0.4987
