Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.032,1.109,0.484,0.6654
knnu mmr,0.000,1.732,0.903,0.980,0.565,0.0662
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.732,1.021,1.069,0.364,0.4819
knni mmr,0.000,1.580,0.787,0.891,0.513,0.0222
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.174,0.632,0.588,0.345,0.3516
svd mmr,0.093,1.320,0.727,0.790,0.336,0.6696
