Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,24,1.133,0.531,2.402,0.0000
knnu mmr,19,0.317,0.100,0.594,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.540,0.545,0.452,0.0064
knni mmr,22,0.265,0.209,0.198,0.0548
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.465,0.320,0.382,0.0007
svd mmr,19,0.237,0.204,0.175,0.0754
