Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,24,1.122,0.517,2.408,0.0000
knnu mmr,18,0.311,0.109,0.572,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.594,0.376,0.530,0.0036
knni mmr,21,0.259,0.167,0.181,0.0478
svd,25,1.354,1.014,0.812,0.0388
svd td,23,0.467,0.289,0.420,0.0002
svd mmr,19,0.238,0.203,0.167,0.3000
