Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.231,0.229,0.022,0.5291
knnu mmr,25,0.200,0.196,0.016,0.0159
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.232,0.224,0.022,0.2243
knni mmr,29,0.208,0.208,0.016,0.9467
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.243,0.234,0.032,0.0394
svd mmr,27,0.256,0.253,0.029,0.7259
