Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.235,0.237,0.021,0.9669
knnu mmr,25,0.174,0.172,0.023,0.5632
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.239,0.234,0.020,0.0619
knni mmr,29,0.177,0.173,0.016,0.0542
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.256,0.252,0.026,0.3074
svd mmr,27,0.236,0.237,0.025,0.7276
