Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.026,1.155,0.477,0.5230
knnu mmr,0.000,1.549,0.998,1.155,0.443,0.0096
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,0.970,1.069,0.389,0.0231
knni mmr,0.000,1.477,0.718,0.816,0.535,0.0069
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.261,0.654,0.639,0.354,0.7666
svd mmr,0.093,1.268,0.733,0.818,0.333,0.3338
