Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.028,1.044,0.473,0.4558
knnu mmr,0.000,1.633,0.780,0.870,0.540,0.0190
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.706,1.004,1.049,0.355,0.3033
knni mmr,0.000,1.595,0.880,1.017,0.450,0.0203
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.641,0.643,0.353,0.7143
svd mmr,0.093,1.268,0.728,0.803,0.329,0.4388
