Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.286,1.000,0.822,0.868,0.170,0.0000
knnu td,0.000,1.000,0.604,0.581,0.269,0.0017
knnu mmr,0.000,1.000,0.611,0.694,0.280,0.0823
knni,0.000,1.000,0.767,0.825,0.211,0.0000
knni td,0.000,0.993,0.733,0.852,0.232,0.0001
knni mmr,0.000,1.000,0.659,0.750,0.240,0.0015
svd,0.000,1.000,0.777,0.886,0.267,0.0000
svd td,0.000,0.946,0.678,0.798,0.233,0.0001
svd mmr,0.000,0.914,0.579,0.563,0.233,0.1535
