Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.009,1.000,0.484,0.6205
knnu mmr,0.000,1.633,0.915,1.000,0.502,0.0704
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.732,1.021,1.082,0.360,0.4096
knni mmr,0.000,1.548,0.847,1.000,0.490,0.0141
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.549,0.663,0.587,0.388,0.8872
svd mmr,0.093,1.268,0.726,0.790,0.328,0.5933
