Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.234,0.238,0.022,0.6080
knnu mmr,25,0.187,0.185,0.017,0.9419
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.235,0.020,0.4679
knni mmr,29,0.189,0.186,0.016,0.2468
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.254,0.249,0.027,0.8424
svd mmr,27,0.255,0.253,0.028,0.2790
