Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.023,1.000,0.481,0.7259
knnu mmr,0.000,1.633,0.956,1.155,0.560,0.0253
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.016,1.069,0.351,0.2163
knni mmr,0.000,1.604,0.914,0.894,0.409,0.3896
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.668,0.732,0.344,0.5740
svd mmr,0.121,1.320,0.698,0.775,0.337,0.5709
