Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.236,0.237,0.020,0.2937
knnu mmr,25,0.181,0.181,0.017,0.7042
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.233,0.023,0.1680
knni mmr,29,0.178,0.176,0.018,0.8742
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.250,0.246,0.024,0.5433
svd mmr,27,0.250,0.249,0.027,0.5542
