Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.234,0.235,0.020,0.3942
knnu mmr,25,0.173,0.173,0.019,0.6183
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.234,0.233,0.023,0.1934
knni mmr,29,0.176,0.174,0.017,0.4406
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.248,0.251,0.025,0.8268
svd mmr,27,0.252,0.247,0.029,0.2373
