Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.286,1.000,0.822,0.868,0.170,0.0000
knnu td,0.000,1.000,0.601,0.577,0.269,0.0019
knnu mmr,0.289,1.000,0.661,0.703,0.188,0.2100
knni,0.000,1.000,0.767,0.825,0.211,0.0000
knni td,0.000,0.977,0.729,0.843,0.229,0.0000
knni mmr,0.245,1.000,0.692,0.757,0.212,0.0073
svd,0.000,1.000,0.777,0.886,0.267,0.0000
svd td,0.000,0.944,0.685,0.798,0.225,0.0001
svd mmr,0.000,0.913,0.578,0.569,0.228,0.2554
