Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,1.954,0.989,1.069,0.519,0.1907
knnu mmr,0.000,1.549,0.867,0.793,0.510,0.0743
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.006,1.044,0.362,0.3848
knni mmr,0.000,1.788,0.939,1.000,0.484,0.0674
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.549,0.660,0.587,0.409,0.7741
svd mmr,0.093,1.268,0.730,0.789,0.334,0.5344
