Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.034,1.000,0.482,0.4957
knnu mmr,0.000,1.633,0.906,1.021,0.495,0.0617
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.732,1.023,1.069,0.367,0.3941
knni mmr,0.000,1.360,0.708,0.769,0.509,0.0062
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.181,0.613,0.577,0.354,0.4163
svd mmr,0.118,1.268,0.730,0.809,0.329,0.4366
